Author,Datetime,Title,Content
diane87594,2017-01-12T18:43+00:00,Does any body get muscle and twitching all over,I'm 50 menapause no periods 17 months now get twitching and fluttering arm legs chest get nausea some time got health anxiety over thinking the worst all the time doom and gloom hate being on my own x
Gypsy014,2017-07-23T14:48+00:00,Perimenopause/Menopause and shortness of breath/chest tightness/ Belching,"Anyone have the symptoms of shortness of breath with chest tightness, (air hunger) with lots of belching after eating? If so please describe... And does it get better? Mine started like 3 weeks ago and it's awful feels like i can't get a deep enough breath. I'm also experiencing food allergies/sensitivities also to soaps and flowers and different smells, all make me choke/ cough and feels like chest tightness. Never ever have I had asthma in my life but feels like it now! My anxiety/ panic attacks are bad, antibodies are high for rheumatoid arthritis, and hashimotos, just don't know how to deal with all these new symptoms that keep getting thrown at me other than to sit and cry, cry cry! Anyone else having similar issues??? Are these symptoms all consistent with the menopause change??"
kate78592,2024-02-26T08:19+00:00,Am I too young to have perimenopausal symptoms,since i was about 38 ive had brown discharge around ovulation and regular periods when i was 40 i went the docs because my period didnt come for 6 weeks! very unusual for me. i put it down to stress. the next two periods were around 35 days apart and then just became normal again (still with brown discharge at ovulation) i began then having this heat that just came out of nowhere from my chest a few times etc i have night sweats but id put that down to anything else. that seems to have stopped now last month i wiped during ovulation and proper red blood was there not my usual brown i contacted my nurse and they again put it down to perimenopause my early 20's i had CIN 3 cells on my cervix burnt away i worry that im too young to be starting perimenopause. but the nurse isnt bothered about the CIN 3 i had when i was young and the fact ive been spotting for nearly 4yrs is this perimenopause? is it normal to have a really long cycle for a couple of months then just back to normal? is the spotting normal since 38yrs ish im now 41 im also not on any contraception
molly54321,2016-08-16T22:58+00:00,Menopause and paresthesia?,"I would love some input on my strange symptoms.  I'm 50 years old. For many years, my periods have been very close together, very long, and with 2-3 days of exceptionally heavy flow. I know this weird period stuff is normal in peri menopause. Then, after one of these ""normal"" (for me!) periods in April, I didn't have one for 60 days - and when I did it again, for the first time in years I didn't have the heavy days. That was over 60 days ago and so far I haven't had another one since. My FSH level in a blood test two weeks ago was very high - 117. I tell you all this just as a little background - I already know I'm obvioulsy in peri menopause and nearing actual menopause.  But here's the reason I'm posting. Starting mid-May, all of a sudden I started having very consistent paresthesia in my feet and legs - a mixture of tingling, pins and needles, slight burning, static sensation outside skin, pricking... no numbness. It has been with me every single day since then - 3 months now. It's worse at some times than others, but always present to some degree (and usually very annoying and concerning). It is definitely in BOTH legs and feet.  I'm slightly low in B12 and hoped that was the cause - however, after 10 B12 shots over 5 weeks, I have no improvement. I've had various other blood tests, all normal. I had an MRI of my spine (all 3 sections) yesterday and it showed nothing. No MS lesions, no transverse myelitis lesions, no compression/stenosis, no disc problems, no tumors. Now I need to get a brain MRI and of course I'm concerned this one could show MS. However, doctors have told me - and my research confirms this - it would be most unusal for MS to present with paresthesia equally on BOTH sides, stay around consistently for so long without going away even briefly, etc... And I have zero other MS sypmtoms. So assuming (hopefully!) that's NOT what it is, then it's becoming a real mystery. I've done some reading that suggests these weird tingling sensations CAN be caused by menopause - due to extreme hormone imbalance. Also, my hormones could have been out of whack for a long time what with all my irregular periods, AND about 12 years ago I had my hormone levels checked and supposedly at that time I had the estrogen level of ""a post-menopausal woman."" At the time my doc said that was a little odd, but ok, no cause for concern. Anyway, I say all this as a way to say perhaps I've been a little bit of a unique case as far as my hormones. Does anyone think these symptoms COULD actually be attributed to menopause? Or has anyone had something similar happen to them? I've asked my doctor a couple times and she immediately says no, menopause couldn't cause this. I realize it's not typical, but is it possible? So far I have no hot flashes or night sweats, thank heavens, but maybe this is my own personal type of menopause hell?!  Any insight would be so very much appreciated. Maybe I'm grasping at straws, but it DOES seem an interesting coincidence that all these issues have come up right as I'm going through this different timing in my periods, obvious continued hormone changes, etc...  Thanks in advance for any help people might be able to offer. I think I'm going insane. If this could be blamed on menopause, I would be SO relieved and could deal with it!!!"
laura370,2018-08-15T22:36+00:00,Extreme Jealousy!!!,"Omg...I am driving my husband mad with imagining that he's looking at everything and anything and comparing them to me. I am like...Am I going out of my mind??? I know some women will say well maybe your instincts are right. Well, to squash all those that think that I will say that I've been married to this man for 30 years and NEVER even felt like he gave anyone (including women) a second look. I've even encouraged him in the past to give the girls in his office a little something around Christmas to show his appreciation because he would never think of it. Now I'm constantly having these paranoid thoughts of him staring at other women. I feel INSANE!!!! Is it my insecurities and my age (I'm 52) that all of a sudden is making me crazy?? He has never said anything negative about my body or my looks and compliments me all the time. SO WHAT THE HECK IS GOING ON? He asks me if I'm trying to push him away by accusing him of this and I am not at all. I love him dearly and he tells me he loves me everyday. But this green monster is taking over my life to where I'm imagining him ogling anything that moves. UGH!! Please tell me I'm not the only one that feels this craziness. <3 <3 <3"
sophie76397,2017-05-18T05:13+00:00,Rib pain,is rib pain a common symptom of menopause?  I've had this on and off over the past couple of years - I've had two chest X-rays showing nothing.  This last week it's been pretty painful specially when lying down - does anyone suffer from this?
ShoSho46,2024-02-20T21:16+00:00,Depression and anxiety,hi ladies. i am so worried that i wont ever come out of this depression that has exacerbated during this transition. is there anyone out there that has gotten to the other side and is feeling better.
lamanp,2024-02-16T18:06+00:00,Please let me know I’m not a lone 😢😢😢😢😢😢😢😢,"I'm 50 years old and my life has completely changed since 5 months, one night I was sleeping as if an electric current went straight into my body And then my whole body became exhausted and my heart beat very fast. I thought I was going to die and didn't know what happened because for a long time I had never thought about what perimenopause was. I didn't have my period for 5 months and then it came back 2 times but until now. Now it's been 3 months without it. After the terrible night, I had to go to the emergency room because my heart was beating fast, I had difficulty breathing, and I was exhausted every day. After testing, everything was normal, but I was very afraid and didn't know if they were missing anything. At that time, my family doctor transferred me to a gynecologist. During the 1-month waiting period for my appointment, I had to fight every day with a body that no longer had enough energy, I was depressed and exhausted. cry every day, have insomnia at night, every time I have hot flashes my heart beats faster than normal and feel like my blood pressure has dropped, every morning I wake up with no energy in my body, headaches, dizziness , I don't have enough strength to do anything, I'm exhausted and have no energy to take myself out, I don't want to see anyone and want to talk to anyone, finally the day of the appointment with the doctor The doctor also came, I cried a lot to her and begged her to save me. After I had my blood drawn and everything tested, she finally gave me the results: I was in the stage of death. I was in perimenopause and my hormones were too low, I sat there and cried a lot, I felt like I was dying every day with a weak body and no energy left, in the end I was treated with the lowest dose of HRT for 3 months. She said that if I was still not feeling well within three months, she would then increase the dose to a higher dose. Currently, I have been using HRT since January 26, but until now Now I still don't see the results. My family doctor gave me more antidepressants and tranquilizers to help me feel more stable, but I don't dare to take it. I really want to be stronger to overcome it. going through this terrible period but I can't do it, so many bad things keep clinging to me every day, every day. For me, it's like being in a living hell, I find my life deadlocked, tired and very tired, my last hope is that HRT can help me return to normal life, I also don't know when HRT will have results, I thought I was suffering from some incurable disease. I really live in fear and madness, please let me hug you tight so I know I'm not alone."
caroline62395,2021-10-21T20:12+00:00,Feeling better all the time,"Hi, I have not posted on here for a very long time, the reason is I have felt so much better and forgot all about it, which I assume happens to many people. At my worst moments I was always looking for positive posts that would give me some light at the end of the tunnel but could never find many. Its like anything else when we feel better we just get on with living. I am now 51 and have not had a period for over 4 months, I still get very warm at night and don't have the best nights sleep but I have gone back to work and I'm loving it. My anxiety levels are just about back to normal except for the odd few times I have the familiar dread feeling but it soon passes. I think I'm a bit grumpy sometimes and have a low tolerance level but I can live with that. The days of been so terrified to even go shopping or to any social event are gone, I don't even think about it now. I am crossing my fingers that this is how its going to be now. I feel older, look older but I'm ok with that. Please hang on in there, I know its not always the case for everyone but hopefully a lot of us do get through this, a bit battered and bruised but there is light at the end of the tunnel."
ann85985,2024-02-18T09:49+00:00,Pulse whooshing in ear and palpitations,"any ladies out there getting bad whooshing in their ear and head and heart palpitations 24/7,this is scary and I'm sooo anxious, please let me know if anyone else is having this ,I do hear this could be due to oestrogen levels"
charcey97,2024-02-18T18:30+00:00,"Left side numbness and tingling, hot flashes, headaches, dizziness- oh what fun!","Hello fellow peri/menopause sufferers- Curious to hear your stories... I just turned 49. I have had the standard peri adventures for the last 6 years. Nothing super crazy. Hot flashes off/on, insomnia, speech and memory issues, Had another couple episodes in that four month period. Again, just shrugged it off. The last one was in early January and I finally decided to go get it checked out. Dr. Has run more than a few blood tests which of all come back normal and I have a brain MRI scheduled for this Tuesday. Starting three weeks ago, I experienced headaches, severe hot flashes.-anywhere from 5 to 10 a night, increased speech, and memory issues, noticing some eye strain/blurriness, muscle weakness, and numbness/tingling in extremities- mostly on the left side. Needless to say, I am doing the best I can not to freak myself out. It concerns me that everything is on the left side for the most part, except the muscle weakness, which is everywhere, but I have read in other areas of this forum that the one side thing has happened for others, as well. I'll know more with my brain MRI, but my ANA was negative. Would love to know if any of you are dealing with the same symptoms that I’ve been dealing with in the last four months. Yesterday, right hand felt different (can't pinpoint how- maybe slightly weaker). Today, I am dealing with slight numbness and tingling (if I can call it that) on my whole left side from neck down to thigh. Kind of feels like overworked muscles or something. Hard to describe, and I’m not sure I can even describe numbness and tingling because it doesn’t quite put the finger on it. Almost feels like it’s asleep, but not really. Hopefully that’s making sense. Thanks for the support ladies."
ShoSho46,2024-02-12T22:16+00:00,Does anyone else have this issue!?!,hi ladies. im just wondering if anyone else has issues with feeling like you cant catch your breath? especially in the morning and after eating. plus the top of my stomach feels very tight along with my ribs. also my tongue is raw and feels dry.
dee28383,2017-12-05T17:22+00:00,Debilitating body weakness and fatigue,"Hello everyone. I am new here and am looking for anyone who may have experienced what I am currently going through. Last year I got my last period ( was in perimenopause for 6 years prior), and a chronic sinus infection at the same time. After a quick decline in health over the following 5 weeks, I woke up one morning to have all the energy and strength sucked right out of me. It was so scary!! I had many that's, all show no health issues so far. I have improved alot since then ( though it was pretty hell), and now I am in full menopause since I have been period free now for 16 months. I am 46 and never had health issues before. I am getting my hormone levels checked out next week. I was just wondering since this infection and last period happened at the same time..could this have caused my huge crash in strength and fatigue? Any insight would be appreciated. I am losing my mind trying to cope and also figure out what happened."
