Author,Datetime,Title,Content
tebrown96,2018-12-03T14:38+00:00,I *hate* 3:30 AM,"This seems to have become the time my body wants to wake up for the day and man, am I feeling it. I spent most of the weekend on the couch being lazy (my poor daughter was so bored) but I just needed to rest! I try not to nap, thinking that will help me sleep through the night. I try to stay up a bit later, thinking that will help. Nothing helps! I just wake up around 3:30 and that's it. My mind starts going a mile a minute, even when I try to do my relaxation/meditation exercises. I also get these weird muscle spasms during this time that make it even harder to settle down. I'm not sure if this is due to the fact that I've recently started on a low dose of Lexapro (my doc said it could cause sleep disturbances) or my regular perimenopause insomnia or a combination. I just want a full night's sleep! Sorry - just had to vent. 😦"
jane63977,2018-12-03T09:10+00:00,Is it a tummy bug ?,"Good morning , ladies though its not very good for me . Feeling rough, havent slept , unsettled stomach and feeling nauceous . Yesterday it was a bad head that moved to my stomach and yes , I do suffer from migraines , but today I have like an ibs type if pain and just feel more like its a bug . I would rather it was, just so that I feel better in a few days . Its certainly not easy going through all this and I dont want to keep confiding in my husband and daughter , as I just think they must be so fed up of listening to all my ailments . Heres hoping that I gradually feel better over the next few days . FYI , I did finish a heavy period last week after being three months late , so maybe my immune system is low . Thank you for reading this , as I really dont know what I would have done without this forum ."
leisa56147,2018-12-02T20:12+00:00,"Ear, Throat/Tongue Issues","Hey beautiful ladies; First year in 51 years I absolutely don't give a s**t about Xmas because of this menopause crap I am about sick of like the rest of you! **First the nausea and brain fog which has since moved on **Then to right shoulder=blade constant aching (probably from being completely flipped exhausted from the anxiety! Been better) **NOW, I have this weird sensation in the back of my throat and ever once in awhile I will have shooting jaw and ear pain. Is this normal and just another fricken blessing of being a woman going through this or do you think it warrants a trip to yet another worthless doctor who doesn't give a crap about anything accept getting you out of their office, pushing meds and collecting a fee! I have looked in my throat and there is nothing out of the ordinary that I can see . Sick of all these tests (all blood tests, CA-125, the poop sample test (not to be gross) has came back normal. Wish there was ONE (just ONE) damn doctor out there that would give a s**t and recognize our issues going through this and get their head out of their ass that there is more to menopause then HOT FLASHES! Fed Up! Thoughts on the ear, throat, jaw stuff???????"
DH59,2018-11-30T15:34+00:00,When does this nightmare end?,"I am beginning to scare myself by Googling symptoms, but I am worried about some vision problems I am currently having. Since starting the menopause 12 years ago I have had ocular migraines (where a line of flashing lights move across the eye), but they were many months apart. I read that they can be hormonal and/or caused by similar triggers to normal migraines. I can now get up to four a week, but recently I have also had another type of eye problem, with flashing lines in the left eye peripheral vision, and then I had a funny dizzy spell where I felt everything go blurred for a few seconds and my head felt really strange. I had one of these episodes about 18 months ago and thought it was a one-off, but this second one now has me quite worried. I saw an ophthalmologist about the flashes, who said there was no detached retina, but recommended I see a neurologist. I saw one last week and he referred me for a CT scan but that was then cancelled as the machine broke! My sister has had similar ocular migraines over the years, and also had these dizzy spells, then she had a stroke last year, so now I am really concerned. I am currently taking beta blockers (for palpitations/irregular heartbeats) and vision problems are one of the side effects listed, so now I am not sure whether it is the tablets, menopause, or whether I am about to have a stroke! Can anyone relate to these symptoms?"
bev27429,2018-12-02T16:26+00:00,So Tired With This Process. I Need Some Positive Words.,"I have been going through the emotional challenges of perimenopause for close to 16 months now. I get to a point where I think that I am better, and I even tell people that I think it is finally over, only to have it come back and crash down all around me, once again. I have such weird thinking and feel so hopeless sometimes. My symptoms are all over the place now. I have been spending this weekend with my boyfriend, and I find myself getting filled with anger just listening to him eat his breakfast; it's so weird. I love him deeply; he is an absolute gem, but I start thinking that I just want to be by myself. Then, the next minute, I am filled with love for him and feel peaceful and totally content. I know that it is hormones, and I keep reminding myself of this, but it is just so awful to have thoughts and feelings and impulses that I know are not me. Sometimes, I just don't know how to keep going through all of these emotions which switch from anxiety, to dark depression, to irritation, to rage, to frustration, to hopelessness, to peace, to happiness, to appreciation for my life (in no particular order). This is, by far, the most bizarre thing that I have ever had to endure. I just keep telling myself to keep going and that, one day, it will be over. Any positive thoughts for me?"
may69987,2018-11-25T17:10+00:00,Perimanipouse,"hi i just want know if anyone is suffering from very dry skin no matter how much i mostrize it is still dry and my shine feel so tight and shiny ,does anyone have the same problem is it related to hormone and i get most when i get the burning sensation in my legs it just brings my anxiety to the roof"
marisol06794,2018-12-02T22:03+00:00,Weird sensation around belly button,hello ladies here I am once again with something else I've been getting these weird sensation like stabbing pain around my belly button sometimes it feels like a burning sensation I just don't know anymore I've gotten the 66 symptoms of menopause times 2 can any of you lovely lady's relate to this I am so exhausted mentally and physically this has taken over my life for 5 years now when I think everything is better I get slammed with something else any info would be much appreciated I thank God for this forum and you wonderful ladies God willing this will be over soon lot's of blessings to you all!!!!
jane63977,2018-12-02T18:22+00:00,Acid reflux,hello everyone . Do any of you ladies have issues with acid reflux and indigestion ? Mine is really playing up at the moment . I finished my period last week after being nearly three months late . I am 51 and have had peri issues for nearly three and a half years and I am so over it now . I just get so worried as to what all these stomach issues are and headaches and migraines . The list goes on and on
loubylou64,2018-11-30T06:55+00:00,Not sure how to describe,I've never fainted and rarely had a migraine but yesterday while out walking every now and then when I blinked my vision went black for a second. When I got back and sat down I noticed my hands were unsteady like my sugar levels were down. Ate lunch and symptoms disappeared. Anybody else experience this?
SharonElvis,2018-12-02T15:31+00:00,Females are HARDCORE!!!!,"I just found this site last night and i could almost answer YES to everyone's questions. I too thought i was dying for sure of something???? I've been to almost every kind of Doctor and they keep saying nothing is wrong with me. However, i have these ""Flu-like"" symptoms with waves of nausea like i've never had before. My stomach is bloated and feels full all the time. I wake up at 2am with sweats then chills.........etc. I'm so glad none of us are dying, our ""kitchens"" are closing! Stay strong ladies we will rule the World one day! Thank you for sharing your stories and making my night last night not so bad."
bev66,2018-11-30T10:25+00:00,Complete vitamin b complex,does any of you take this vitamin for perimenapause?
CarolKelso,2018-11-16T15:43+00:00,Awful nausea......anyone the same?,"Hi Ladies do any of you suffer from awful bouts of nausea?? coupled with it i get a migraine type headache in the crown if my head. ive been grand for a while but today, bang same ole thing again with constant wind in my tummy... any of you the same and how long does yours last for? thx in advance Carol K"
evi75119,2018-11-29T21:35+00:00,The role of magnesium supplement,"Hello again, I just found some similar symptoms between low estrogen and magnesium deficiency. Is there any lady who found some kind of relief by taking magnesium supplements? thank u"
juanita93228,2018-11-28T19:11+00:00,"Is anybody tired of people telling you to ""just get over it""?","As if you can just ""get over"" menopause and the depression that it brings along with the million other symptoms that comes with it. I"
tebrown96,2018-11-29T16:56+00:00,"Okay, now I'm really stressing myself out","So, I posted a little while back about my crazy peri symptoms and how I'd almost convinced myself that I have MS. In addition to the tingling in my foot that I had a few weeks ago (that has gone away), I'm now experiencing random tingling (feels like it's just under my skin) up and down my right leg, mostly in the thigh. Well, something new happened and of course, I went to good old Dr. Google, and now I'm totally convinced I have MS. Yesterday at work, it totally felt like I had sat in something wet, so much so that I reached down to feel my left upper thigh/butt. Completely dry. That seems to be one of the less common symptoms of MS. Yikes! I am trying not to get super-freaked out, but it's so so hard. I will be seeing my PCP in a few weeks to check in on my new meds (for high blood pressure and anxiety) and will bring it up then. Ughhh....."
deedee63350,2018-11-28T22:02+00:00,Major Nausea! Anyone else experience this?,"I haven't had a period going on 5 months now and for almost a year I get very nauseated. Then I feel panicky, is this menopause or anxiety? Both maybe lol. I'm also always so bloated, its really uncomfortable! Like I'm about to start my period but haven't. Is this something you can take bio identical hormones for? It really ruins my day! Thanks girls!"
rhonda86833,2018-11-28T23:36+00:00,The Joys of Dealing with Medical Doctors,"For the past 2 years I have had a small, movable knot in my left armpit. It is always a little sore if I press on it, but during my period it is painful just to move my arm. Not horrible, but there is tenderness there. I have seen a surgeon twice and my gynecologist twice. I have had 2 ultrasounds and 2 mammograms over the past 2 years. The results have been that it is a swollen lymph node with no explanation about the reason it is swollen beyond, ""It's hormones."" I went to my general practitioner last week and told him that the lump/knot was still there and that I have a burning sensation on the inside of my arm from my armpit to my elbow and also a burning pain on my left shoulder blade. He decided to send me to a neurologist since he thinks it's nerve related. The neurologist feels of the knot and says, ""That's not a lymph node. That's a tendon. That's the bicep brachii tendon."" So... is it a tendon? Is it a lymph node?? Oh the humanity!!!"
klm1213,2018-11-27T21:00+00:00,"Ugh, the nausea","I'm so tired of the nausea, bloating, and just basic feeling of blah .... can anybody relate???"
janeben,2018-11-28T09:20+00:00,HRT gels in UK,"HI I'm a young 61 year old who has been suffering with acute insomnia for years. I've tried all natural remedies even CBD oil, most recently...I'm now thinking HRT gels (bio-identicals) but being in UK, don't have a gynea and my first stop will be a GP. Has any lady any experience of of my situation? I've been posting about help/ideas for solving my insomnia for years now! Thank you jx"
Guest,2018-11-28T16:42+00:00,For the dizzy ladies with migraine brains...,"Hello my fellow She-rah warriors! I had an appointment at an eye and ear hospital with an otoneurologist. I have suffered migraines since the onset of peri. Anywhere from 3 to my record of 9 this past month. But, worse is my constant off balanced, swaying feeling. Over sensitive to smells, sounds, visual, weather...you name it! The dr was excellent. He listened to all my weird feelings and validated that they are real. He thinks I do indeed have vestibular migraines. Did the regular neuro testing, which was ok. I had an MRI last year and he did not see the need to do another. I have to go for proper balance testing in January. It is very common when the hormones are fluctuating in peri to trigger migraines. Sometimes post meno is a trigger too. But, some of us are more sensitive...along with other triggers. Cycle, Stress, anxiety, weather, food or whatever else sets off our migraines. The dizziness or off balanced, hypersensitive feelings are our brain trying to figure out all the mixed signals. I suffer awful from fatigue too. Chronic Migraines can cause fatigue too. He explained it like having chronic pain that never switches off. The brain is working overtime to compensate. I get terrible neck pain too, which is a migraine thing too. I believe I started peri at 38. I was getting flashes periodically. Also, tension type headaches more often and around my cycle. Did acupuncture for 2 years...no relief. Massages made them worse. He said that tension headaches can be a pre curser to migraine. In the meantime, he changed my med to norotripyline. Told me to try magnesium and B2. until I get the balance testing done...which will rule out inner ear damage...I get tinnitus in both ears...by a virus, etc. I asked about if HRT would help, he said some women do find relief that way...some do not. But, mentioned that if women are worried about risks for HRT...other meds to help that do not carry that risk...but of course hormones...not his expertise! If you ladies have already seen an ENT and have been blown off. Please look into an otoneuro. if you have an eye and eye hospital within reach. Ear, nose, throat doc that deals with the vestibular system and the brain. It is not your imagination that you are stumbling around. Stay well, my friends!"
leisa56147,2018-11-29T05:20+00:00,Lovely New Menopause Xmas Gifts!,"Hey ladies; Ok, first the nausea, brain fog and plain bitchiness and anxiety now............... (have any of you experienced these) Everything seems to be on my right side (maybe cuz I am right handed and I sit in front of my computer for about 8 hours a day)? Burning pain in my right scapula (shoulder blade) area. Feels like muscle or tension but of course Google has me convinced it's lung cancer! Shooting jaw and ear pain ever once in awhile Back of neck pain that comes and goes I have some white spots on my gum and found 1 in the back of my throat. The one on my gum I think is just irritation from my upper denture. Joints ache (new one every day)"
Pamwhid,2018-11-26T19:13+00:00,Good days and bad days,"IM 48 years old, i started having perimenopause symptoms earlier this year, off balance, forgetful, cant put sentences together, hot flashes and anxiety ive always had anxiety issues for years and have been on zoloft for a long time (100mg). my periods are irregular either lite or gushers. My doctor up my zoloft to 150 and was doing great. IM A TOTALLY HYPROCONDRIAC. Had so many tests, all fine. I woke up this weekend, anxiety back at full force, my mind just races. i have good moments during the last 2 days, which last for like 5 minutes, because realize im not thinking about my anxiety and then i get bad again. I cant sit still, even to read my people magazine (my bible lol). If you would asked me last week i was going to be like this i would have laughed. Ive been off of work the last 3 days for vacation and im hoping when i go back tomm, i wont have time to think about it.. im suppose to get my period on friday but who knows. i talked to my doctor this morning and he has upped my zoloft to 175. any advice i would appreciate it.."
Gypsy014,2017-10-24T11:44+00:00,Sharp ear pain!,"Since yesterday I'm having a very Sharp back ear pain and tip of shoulder both connected to each other it's very Sharp and lasts for only seconds.. Its on my left side, I do get the left side temple headaches every month for 3 days like clock work, but never had the Sharp pain in back of ear and shoulder.. Anyone else experience this?? Is it a peri/meno symptom??"
ampat1,2018-11-26T18:08+00:00,Maca for perimenopause symptoms,"hello wonderful ladies.... I am reaching out to you for your help... has anyone tried maca for perimenopause symptoms? I have been dealing with perimenopause symptoms for few months now. Tried taking hormones but didn't help. I have anxiety, insomnia, ear ringing from all the anxiety, sometimes dizziness imbalance. also feeling down especially close to my period. I'm wondering if any of you have taken maca, did it help with your symptoms? please share your experience. thank you all."
marisol06794,2018-11-28T21:08+00:00,OMG...weird pain sensation in belly button,hello ladies here I am once again now with something different as I had posted before with my pelvic pains and all the weird sensation in my stomach and now with this weird pain in my belly button and surrounding areas I just don't know anymore it's so hard all of this for the past 4 years and now this and I feel like I can't take this anymore I just break down and start crying because I miss my old life I miss my normal self just want a normal life I see my families and friends together enjoying themselves feeling okay and I'm always feeling sick I have no strength for anything I'm always tired I don't want to leave the houses I don't want to socialize every Christmas I decorate inside and outside and it's a big thing for me because I love Christmas but this year all I did was put up the tree and a few lights outside and because my husband insisted on it but I really didn't want to do anything I don't have the urge I just don't care I know a lot of you lovely ladies are going through this and I feel it for all of us it's not easy....can any of you ladies associated with this weird belly button sensation kind of pain any reply will be really appreciate it thank you and God bless!!
Gypsy014,2018-11-28T14:13+00:00,Random Twitching!!!,"Good morning ladies, wow anyone have this random twitching everywhere on the body that they deal with? I'm starting to get monthly patterns of the twitching, at first maybe wasn't as bad , but now it seems to be constant when it happens, and it will be in different parts of body , today its my left shoulder, and its constant. So does this happen to any of you ladies, and does anything help it? Does it come and go every month for you? Also it was with for almost 2 weeks last month, then disappeared for a couple weeks, and today its back.."
shirley05603,2018-11-28T12:23+00:00,Does anyone suffer from muscle pain in menopouse,Hi I have just started taking hrt patches the combined ones. Since going through the menopause I have suffered from muscle pain in my neck and shoulders. I am hoping that if my hormones are level it will help. Does anyone else have muscle pain.
sandra01720,2018-11-28T15:54+00:00,Breast biopsy,I hope it's ok to ask on this forum. I'm scheduled for a ultrasound guided needle biopsy tomorrow on one nodule or more. I read comments online of women who have had this done and some say it was so painful etc. Others have very little pain. Has anyone else had this done and can you reassure me in any way? This is so stressful.
vanessa88276,2018-11-28T16:07+00:00,Menopace,Hi i have just started taking menopace does anyone know how long you have to take before feeling the benefits please 😃
shirl15546,2018-11-28T14:06+00:00,Fatty tissue,i am going through menopause. i have a place on my leg that is swollen its not a knot or cyst my doctor said it appeard to be fatty tissue he sent me to have an ultrsound just to make sure it wasnt a blood clot and it wasnt he said to ease my mind he would send me to have an mri on it but my insurance denied it has anyone else had problems like this?
CarolKelso,2018-11-28T11:33+00:00,Really bad night with bad neasea and loud gurley bowel...awful..HELP!,"ladies... same issue again...chronic wind in tummy and bowel...waves of Neasuea that comes and goes. ive just managed to eat a little this morn and dont feel as bad...alot of stress with my job right now i wont go into and i just moved to the area 2 months ago so id say this has much to do with it....i dont get hot flushes but i feel that there chronic waves of wind are a manifestation of the same thing and in the states they call them hot flash...a lady on here called finny also described simular....this is the worst symptom for me by far as i can deal with the rest as when your tummy is hit, its awful... my guts feel like they are at times, in a war and right now after some porridge and toast...they are shouting at me....LOL Id be lost without this forum so thanks for reading in advance. lots of love to you all. ❤ CK"
tebrown96,2018-11-27T15:04+00:00,Feel like a walking pharmacy,"Ugh. I've never been a huge medicine taker and man, has that been flipped upside down. I know a lot of this is due to perimenopause symptoms, but man, it makes me feel like I'm 84, not 44. I am currently taking: 2 meds for my high blood pressure (which I've always had and was always well-controlled with one med, but it's been really high lately so doc added a second) Zyrtec and using an inhaler for seasonal allergies newly started on a low dose of Lexapro for my anxiety taking half an Ativan as necessary to sleep (since the Lexapro can mess with sleep, on top of the perimenopause insomnia I suffer from - fun times) and now my silent reflux is acting up, so throw in a Zantac at night I hate it all and just want to feel better!"
lorraine21138,2018-11-26T09:58+00:00,Worried about mental symptoms,"Hi ladies - don't really know why I'm posting - just going through a bad patch I guess. I had a really bad day recently where my brain just stopped working - that's the only way I can describe it. Out Christmas shopping and I just couldn't recall my niece's names. Its ridiculous - we are a close family, but for the life of me I couldn't recall their names and I went into a right panic. My memory lapses are awful at time and I'm worrying I've got dementia or a tumour or something. I keep getting very light headed too - especially when I'm working at my computer however I have had a cold recently so assume its related to that. Going through a rough time, my dad is dying of cancer, my husband is having heart problems and Christmas is around the corner and stress levels are very high. I really don't want to go on anti-depressants, I'm taking Kalms. I know this all sounds like I'm really depressed but I think I'm coping - I guess I would just feel better reading that this brain stuff is quite common....and that I'm not going mad....can anyone relate to the awful memory issues? When I'm in a conversation it can be really embarrassing - saying the wrong word a few times and not being able to explain things. Not all the time and definitely worse when I'm tired. Thanks in advance for any replies x"
Claire4474,2018-11-20T19:21+00:00,BBC Documentary,I've just seen an advert for a BBC documentary to be shown on BBC1 on 26th November in the UK. Its called The Truth About Menopause and will air at 9pm. I'm sharing a link but not sure if it will be blocked. https://www.bbc.co.uk/programmes/b0bt4c3m From watching the trailers it looks very interesting so I thought I'd share for anyone in the UK who may want to watch. xx
sharcerv52408,2018-11-27T11:35+00:00,Weird period symptoms,"Hello all, I have been in peri now for about ten years. My periods are irregular most of the time lately. I'm currently on my period, day five, and it took a long time to get here. I went a whole 45 days before it started. I'm usually every 21-25 days. The longest I ever had to wait between periods was 39 days. But when it came on, the day before it there was a milky discharge and then the next day there was more discharge with blood in it which was the start of my period. Also I had menstrual cramps and a bloating feeling in my back. Anyone else get this? I do have a gyn appointment today. Hopefully I can get some answers there"
paulahove24,2018-11-24T01:10+00:00,Waking in the night with odd sensations,its been about 3 months since this last happened! i fell asleep tonight about 11 and woke again about an hour later having odd sensations and feeling very anxious. its horrible. Does anyone else have this? Im sitting in bed now feeling exhausted but cannot get back to sleep
mary27278,2018-11-25T01:20+00:00,Right Side Abdomen More Bloated than Left,"Hi Ladies...since I've last posted I've had a complete turnaround. Every symptom seem to disappeared except for the bloating and constipation. I was waking up with the doom feeling and anxiety every morning ...and though it's only been a week but still it's progress for me considering all the symptoms I had. My abdomen is so bloated especially the right side. In one area close to the liver/ gallbladder area and near the belly button ( intestine area) I can actually see it humpty in that area. Even if I lean toward the right or lie on the right side the hump is even more visible or it seem to lean toward right. I went to my GI Dr this week and she did noticed it and is sending me for a ultrasound on Monday which has me very very nervous. She 's checking my pelvic too. My period came down last night which makes it even more bloated, and it's heavier than usual. By the way, I only have one ovary and yes it is on the right side."
AJacynM,2018-11-24T12:51+00:00,Joint pain... really bad.,"Hi there all, Does anyone take anything for menopausal joint pain? I'm gradually seizing up and it's all just getting harder to function... I feel like a 80 yr old in a 46 yr old body. I have no energy and i ache so bad i just want to cry. I used to walk a lot but now I just haven't got the stamina. Is there anyone out there that has a solution other than to wait this crap time out as it could go on for years! I use HRT but have swapped due to progesterone intolerance and now ache, ache, ache!! Someone please help me!! ☹ Hope you're all having a good day... A. x"
marisol06794,2018-11-25T16:21+00:00,Losing weight without trying scary,hello ladies here I am once again I've been going through so much lately I had a terrible pelvic pain for more than a month and a half I went to the emergency room they had a UTI got antibiotics pain didn't go away went back no UTI got an ultrasound they said I have fibroids then I ended up going to my gynecologist he looked at the ultrasound and it showed no signs of anything and now I'm I feel that I'm losing weight and I don't know why I haven't changed anyting I'm not exercising I'm eating I just don't know anymore and it's scaring me have of you ladies gone through this thank you and lots of blessings to you all.
evi75119,2018-11-20T18:24+00:00,Fear of next hour/day,"After suffering with severe and intense peri symptoms for the last 2 and a half years, the days that I feel well and I can function without problems are few and far between. I do not know what to expect as I am not normal anymore. Thus, I have developed a serious phobia about how awful I am going to feel due to my hormonal fluctuations during the day or the following day. I think that this kind of fear is the most awful of all the symptoms. It is scary, ladies, isn't it?"
AnnieL4,2018-11-27T01:25+00:00,The Coil to help reduce heavy periods?,"Hi ladies, Just would like to know if any of you has had the coil fitted in perimenopause because of heavy period? Was it a good success? Was it painful to have it fitted? I am 49 with heavy periods and at my Gynae appointment today, the Doctor suggested having coil fitted. Any advice? Thanks x"
Shana_P,2018-11-25T21:07+00:00,Tingling and Weakness in One Arm and Cramps in The Feet,"Hello Ladies, Some more crazy symptoms does anybody experience weakness in one arm with Tingling? Also cramps and aches in the Feet or Body?"
ruth24048,2018-11-25T23:27+00:00,Stomach cramps,I have been suffering from stomach cramps for a while now and this last week has been particularly bad. its not period type cramps more intestinal cramps like IBS. its been pain all around the abdomen but especially around the navel. has anyone else had this and found anything that helps? I am in perimenopuause and it really sucks!
evi75119,2018-11-23T20:03+00:00,estradiol is the answer or a little low dose of testosterone or DHEA?,"Hello ladies, we are not doctors but we are know our bodies better than anyone else. Do you believe that in this peri hell estradiol is the answer in order to find some relief? I have read that testosterone in small amounts are also necessary for preventing osteoporosis, for libido etc But I am hesitant to ask my doctor about this... any experiences/ any opinions"
Bassilli,2018-11-25T03:59+00:00,Body Odor,Have any of you developed a strong odor. Like a man sweaty odor. Just at certain times. Coming from under arms.
Shana_P,2018-11-24T12:43+00:00,Heat Intolerance,"Hello Ladies, Does anybody experience burning when the sun hits there skin been to so many drs. and still going. i am seeing Neurologists and they are trying to figure out whats going on. Also this burning can continue on the top of my feet and legs and back as well as elbows and sometimes when I am cold as well. I also get numbness and Tingling Symptoms as well!!! I am going crazy with this!!! I am being checked for Nerve Damage as well....Please if you are having similiar symptoms please let me know."
Kim1971,2018-11-13T22:23+00:00,Menopause... HRT???,Can anyone help I'm going through menopause and seem to be getting more and more symptoms it's really really getting me down. I'm not coping anymore my job is physical and I'm totally exhausted. I know when my mum went on hrt they made her bit ill.but as she's not here anymore I can't talk to her. I'm thinking perhaps I need to try them as I'm feeling so awfull. Can anyone help please I'm feeling so down 😦
Klp77,2018-11-20T10:38+00:00,I'm destroying my marriage!,"So, last year I almost wrecked my marriage to my lovely, kind, thoughtful husband by being absolutely and uncontrollably vile to him as my peri symptoms got worse and worse. Thankfully he was really supportive and stuck by me. I was put on HRT back in October last year (and had the level increased in March this year) which really seemed to help, but just recently it has started again. I am just filled with such a sense of self-loathing and lack of control over my own mind and body that I am behaving totally irrationally towards him - to the point I have made him cry twice in the past few weeks (and he's not someone who cries easily). I hate the fact I am putting on weight despite eating very little. I hate the fact I can't exercise because of having a major and prolonged relapse of my ME. I hate the fact I am turning into a hairy beast - literally!!!!! I hate the fact I am too tired to do any of the fun stuff in life. I hate the fact I get anxious about EVERYTHING - even the stupid stuff. I hate the fact I can't eat anything except the most bland boring food because anything else upsets my stomach. I hate the fact that I am unable to keep a friendship and seem to drive everyone away, even my own sister. I hate the fact that every single day seems difficult. And I hate the fact I'm letting all this impact so much on my life and that of my poor husband when I know that there are so many people out there who are worse off than me. I don't want to destroy my marriage ... but have no idea what to do."
gill14081,2018-11-23T15:34+00:00,Does anyone recognise these symptoms?,"hello, im 51,started having hots sweats now and again and not had a huge difference in my periods so far, sometimes bit early/ late but been having strange symptoms which im not sure are related to peri menopause. so other day became very light headed, dizzy, quite scary actually, vision went blurry, strange feeling in my head, this has lasted on and off for few days along with headaches and upset stomach. have kept myself hydrated and having snacks cos felt like by blood sugar was low. does this ring any bells with anyone good old google says imbalance in hormones can cause these symptoms thanks in advance gill"
amy341731,2018-11-20T01:40+00:00,High blood pressure,"Hi all- well I have been on here for various other perimenopausal symptoms.… But now I have a new one that may or may not be related to perimenopause. Since last year my blood pressure has suddenly gone up to about 150/95, when it was normally 125/75 or so. I have gained about 20 pounds in the last two years or so and had the stress of grad school and currently a new job as a teacher, but I actually enjoy it and didn’t think it was very stressful. I’m just wondering if this is yet another perimenopause symptom or just an old age thing/getting fat thing.☹ Also, if you have experienced a rise in blood pressure, have you had to take medication or have you been able to control it with lifestyle changes? I really do not want to take any medication. I have been taking Sudafed and Advil as well as omeprazole this past year with a sudden crappy rise in perimenopause symptoms, like stuffy nose, allergies, heartburn and achy joints at the time... those symptoms are terrible, but I even discontinued all those last week once I found out I had a high blood pressure, to see if that helps. It’s been five days and it’s no better without those meds. I do have a doctor appointment tomorrow but I was just wondering what anyone’s thoughts here were. I appreciate any and all feedback. Take care and have a wonderful Thanksgiving!"
carol52673,2018-11-10T19:06+00:00,Strong smelling wee,hi does anybody else have this problem i have had it for a while going to the doctors incase its you urine infection just one more thing to add to the list of things that make me feel horrible xxx
jane63977,2018-07-21T15:20+00:00,Dizzy and off balance,"Hello everyone . Just a bit concerned , as today my anxiety has gone into overdrive . I have kept feeling off balance and all I can explain as a swimmy head . It’s very disconcerting and makes me think all sorts is going on . I have had this at times , but it’s always cleared . I am nearly 51 and still have regular periods . My last one was a week ago that only lasted 3 days , but was extremely heavy and painful . Any thoughts please , Jane X"
sharcerv52408,2018-11-22T13:19+00:00,Happy Thanksgiving,"I just wanted to wish those of you in the US, a blessed and wonderful Thanksgiving today. Try to enjoy family and friends despite your symptoms. The company might distract you from how you feel. Be blessed!"
